2 qid:0 1:1.12994350282 2:0.9873555676 3:0.352039694786 4:0.5 5:7 
1 qid:0 1:0.5625 2:0.9271111676 3:0.274276256561 4:0.5 5:16
1 qid:1 1:0.746791131855 2:0.720241038715 3:4.95131587982 4:0.5 5:22
2 qid:1 1:1.76923076923 2:0.829843408715 3:4.91391134262 4:0.5 5:4 
2 qid:2 1:0.75 2:0.711117951648 3:1.24344623089 4:0.5 5:3 
1 qid:2 1:0.665987780041 2:0.581712541648 3:0.982123494148 4:0.5 5:0 
2 qid:3 1:1.48148148148 2:0.999958076837 3:0.847988784313 4:0.5 5:1 
1 qid:3 1:1.25 2:0.999999523163 3:0.682728290558 4:0.5 5:347
2 qid:4 1:1.48698884758 2:0.999169461185 3:0.884027481079 4:0.5 5:0 
1 qid:4 1:0.666666666667 2:0.999137461185 3:0.471886873245 4:0.5 5:217
2 qid:5 1:1.33333333333 2:0.56687769583 3:4.48736047745 4:0.5 5:7 
1 qid:5 1:1.0 2:0.90717334417 3:2.51314878464 4:0.5 5:4 
2 qid:6 1:1.33333333333 2:0.980968222762 3:1.75702261925 4:0.5 5:467
1 qid:6 1:0.681227863046 2:0.941559252762 3:1.43847560883 4:0.5 5:37
1 qid:7 1:0.75 2:0.999817492554 3:0.806220293045 4:0.5 5:247
2 qid:7 1:1.22222222222 2:0.0979215974455 3:1.00059711933 4:0.5 5:1 
1 qid:8 1:0.666666666667 2:0.949626773602 3:0.888451039791 4:0.5 5:130
2 qid:8 1:0.748979591837 2:0.885017873602 3:0.857732474804 4:0.5 5:2 
2 qid:9 1:0.73125 2:0.508389841655 3:3.06037807465 4:0.5 5:34
1 qid:9 1:1.33333333333 2:0.531848311655 3:2.03765583038 4:0.5 5:568
2 qid:10 1:0.75 2:0.954474208919 3:7.38915920258 4:0.5 5:1 
1 qid:10 1:0.75 2:0.954474208919 3:7.33762550354 4:0.5 5:5 
2 qid:11 1:1.0 2:0.742415767764 3:1.71154999733 4:0.5 5:35
1 qid:11 1:0.75 2:0.267771247764 3:2.98248243332 4:0.5 5:23
1 qid:12 1:0.724409448819 2:0.970566692155 3:1.51484179497 4:0.5 5:19
2 qid:12 1:0.936666666667 2:0.991582572155 3:1.51265692711 4:0.5 5:47
1 qid:13 1:1.33333333333 2:0.783517357688 3:1.15726232529 4:0.5 5:10
2 qid:13 1:0.666666666667 2:0.821802732312 3:2.2419154644 4:0.5 5:0
1 qid:14 1:1.58808933002 2:0.109618990202 3:0.512885153294 4:0.5 5:3
2 qid:14 1:0.75 2:0.643985466202 3:0.536288440228 4:0.5 5:91
1 qid:15 1:0.75 2:0.999998092651 3:2.20096588135 4:0.5 5:10
2 qid:15 1:0.566666666667 2:0.999943857349 3:1.93337082863 4:0.5 5:0
1 qid:16 1:0.703296703297 2:0.509982646475 3:0.292308866978 4:0.5 5:36
2 qid:16 1:1.33609958506 2:0.473423996475 3:0.308322399855 4:0.5 5:9
2 qid:17 1:1.33333333333 2:0.299500671266 3:0.533627569675 4:0.5 5:253
1 qid:17 1:0.75 2:0.962422488734 3:0.577545404434 4:0.5 5:7
1 qid:18 1:1.45454545455 2:0.999999046326 3:0.376969277859 4:0.5 5:5
2 qid:18 1:0.727777777778 2:0.999999046326 3:0.367630690336 4:0.5 5:7
1 qid:19 1:0.750293083236 2:0.000217092378968 3:0.272001266479 4:0.5 5:26
2 qid:19 1:1.33620689655 2:0.996474267179 3:0.450937896967 4:0.5 5:23
2 qid:20 1:1.33333333333 2:0.0267738611201 3:0.354558467865 4:0.5 5:0
1 qid:20 1:0.141875 2:0.31745650112 3:0.381112247705 4:0.5 5:21
2 qid:21 1:1.5015015015 2:0.522008958566 3:0.466419368982 4:0.5 5:0
1 qid:21 1:0.992673992674 2:0.858195171434 3:0.54860496521 4:0.5 5:8
1 qid:22 1:1.33333333333 2:0.999956788214 3:2.27630710602 4:0.5 5:60
2 qid:22 1:1.0 2:0.999956548214 3:2.28481817245 4:0.5 5:12
1 qid:23 1:0.746875 2:0.903104549294 3:7.46905040741 4:0.5 5:2
2 qid:23 1:1.3375 2:0.953470350706 3:7.45352363586 4:0.5 5:2
2 qid:24 1:0.667 2:0.601674821367 3:0.583403944969 4:0.5 5:2
1 qid:24 1:1.77777777778 2:0.903196331367 3:0.371900260448 4:0.5 5:2
1 qid:25 1:1.33879781421 2:0.700534582138 3:0.589089393616 4:0.5 5:19
2 qid:25 1:1.1486013986 2:0.700534782138 3:0.655082523823 4:0.5 5:110
2 qid:26 1:0.75 2:0.86597005518 3:1.35101127625 4:0.5 5:685
1 qid:26 1:1.0 2:0.95600670518 3:1.09901702404 4:0.5 5:22
1 qid:27 1:0.75 2:0.572606851025 3:1.76118671894 4:0.5 5:7
2 qid:27 1:1.41104294479 2:0.111385311025 3:1.37670171261 4:0.5 5:1
1 qid:28 1:1.67014613779 2:0.99236058948 3:0.821988642216 4:0.5 5:0
2 qid:28 1:0.735408560311 2:0.96126551052 3:0.69199436903 4:0.5 5:14
1 qid:29 1:0.36075036075 2:0.795093593594 3:0.52500718832 4:1.0 5:68
2 qid:29 1:1.50989010989 2:0.999582853594 3:0.445451319218 4:0.5 5:6
2 qid:30 1:0.746951219512 2:0.52330350654 3:1.39153981209 4:0.5 5:11
1 qid:30 1:0.631276901004 2:0.00538840653968 3:1.02759194374 4:0.5 5:38
2 qid:31 1:0.667346938776 2:0.999994745767 3:0.645244002342 4:0.5 5:848
1 qid:31 1:1.50170648464 2:0.999997854233 3:0.660618662834 4:0.5 5:221
2 qid:0 1:1.12994350282 2:0.9873555676 3:0.352039694786 4:0.5 5:7
1 qid:0 1:0.5625 2:0.9271111676 3:0.274276256561 4:0.5 5:16
1 qid:1 1:0.746791131855 2:0.720241038715 3:4.95131587982 4:0.5 5:22
2 qid:1 1:1.76923076923 2:0.829843408715 3:4.91391134262 4:0.5 5:4
2 qid:2 1:0.75 2:0.711117951648 3:1.24344623089 4:0.5 5:3
1 qid:2 1:0.665987780041 2:0.581712541648 3:0.982123494148 4:0.5 5:0
2 qid:3 1:1.48148148148 2:0.999958076837 3:0.847988784313 4:0.5 5:1
1 qid:3 1:1.25 2:0.999999523163 3:0.682728290558 4:0.5 5:347
2 qid:4 1:1.48698884758 2:0.999169461185 3:0.884027481079 4:0.5 5:0
1 qid:4 1:0.666666666667 2:0.999137461185 3:0.471886873245 4:0.5 5:217
2 qid:5 1:1.33333333333 2:0.56687769583 3:4.48736047745 4:0.5 5:7
1 qid:5 1:1.0 2:0.90717334417 3:2.51314878464 4:0.5 5:4
2 qid:6 1:1.33333333333 2:0.980968222762 3:1.75702261925 4:0.5 5:467
1 qid:6 1:0.681227863046 2:0.941559252762 3:1.43847560883 4:0.5 5:37
1 qid:7 1:0.75 2:0.999817492554 3:0.806220293045 4:0.5 5:247
2 qid:7 1:1.22222222222 2:0.0979215974455 3:1.00059711933 4:0.5 5:1
1 qid:8 1:0.666666666667 2:0.949626773602 3:0.888451039791 4:0.5 5:130
2 qid:8 1:0.748979591837 2:0.885017873602 3:0.857732474804 4:0.5 5:2
2 qid:9 1:0.73125 2:0.508389841655 3:3.06037807465 4:0.5 5:34
1 qid:9 1:1.33333333333 2:0.531848311655 3:2.03765583038 4:0.5 5:568
2 qid:10 1:0.75 2:0.954474208919 3:7.38915920258 4:0.5 5:1
1 qid:10 1:0.75 2:0.954474208919 3:7.33762550354 4:0.5 5:5
2 qid:11 1:1.0 2:0.742415767764 3:1.71154999733 4:0.5 5:35
1 qid:11 1:0.75 2:0.267771247764 3:2.98248243332 4:0.5 5:23
1 qid:12 1:0.724409448819 2:0.970566692155 3:1.51484179497 4:0.5 5:19
2 qid:12 1:0.936666666667 2:0.991582572155 3:1.51265692711 4:0.5 5:47
1 qid:13 1:1.33333333333 2:0.783517357688 3:1.15726232529 4:0.5 5:10
2 qid:13 1:0.666666666667 2:0.821802732312 3:2.2419154644 4:0.5 5:0
1 qid:14 1:1.58808933002 2:0.109618990202 3:0.512885153294 4:0.5 5:3
2 qid:14 1:0.75 2:0.643985466202 3:0.536288440228 4:0.5 5:91
1 qid:15 1:0.75 2:0.999998092651 3:2.20096588135 4:0.5 5:10
2 qid:15 1:0.566666666667 2:0.999943857349 3:1.93337082863 4:0.5 5:0
1 qid:16 1:0.703296703297 2:0.509982646475 3:0.292308866978 4:0.5 5:36
2 qid:16 1:1.33609958506 2:0.473423996475 3:0.308322399855 4:0.5 5:9
2 qid:17 1:1.33333333333 2:0.299500671266 3:0.533627569675 4:0.5 5:253
1 qid:17 1:0.75 2:0.962422488734 3:0.577545404434 4:0.5 5:7
1 qid:18 1:1.45454545455 2:0.999999046326 3:0.376969277859 4:0.5 5:5
2 qid:18 1:0.727777777778 2:0.999999046326 3:0.367630690336 4:0.5 5:7
1 qid:19 1:0.750293083236 2:0.000217092378968 3:0.272001266479 4:0.5 5:26
2 qid:19 1:1.33620689655 2:0.996474267179 3:0.450937896967 4:0.5 5:23
2 qid:20 1:1.33333333333 2:0.0267738611201 3:0.354558467865 4:0.5 5:0
1 qid:20 1:0.141875 2:0.31745650112 3:0.381112247705 4:0.5 5:21
2 qid:21 1:1.5015015015 2:0.522008958566 3:0.466419368982 4:0.5 5:0
1 qid:21 1:0.992673992674 2:0.858195171434 3:0.54860496521 4:0.5 5:8
1 qid:22 1:1.33333333333 2:0.999956788214 3:2.27630710602 4:0.5 5:60
2 qid:22 1:1.0 2:0.999956548214 3:2.28481817245 4:0.5 5:12
1 qid:23 1:0.746875 2:0.903104549294 3:7.46905040741 4:0.5 5:2
2 qid:23 1:1.3375 2:0.953470350706 3:7.45352363586 4:0.5 5:2
2 qid:24 1:0.667 2:0.601674821367 3:0.583403944969 4:0.5 5:2
1 qid:24 1:1.77777777778 2:0.903196331367 3:0.371900260448 4:0.5 5:2
1 qid:25 1:1.33879781421 2:0.700534582138 3:0.589089393616 4:0.5 5:19
2 qid:25 1:1.1486013986 2:0.700534782138 3:0.655082523823 4:0.5 5:110
2 qid:26 1:0.75 2:0.86597005518 3:1.35101127625 4:0.5 5:685
1 qid:26 1:1.0 2:0.95600670518 3:1.09901702404 4:0.5 5:22
1 qid:27 1:0.75 2:0.572606851025 3:1.76118671894 4:0.5 5:7
2 qid:27 1:1.41104294479 2:0.111385311025 3:1.37670171261 4:0.5 5:1
1 qid:28 1:1.67014613779 2:0.99236058948 3:0.821988642216 4:0.5 5:0
2 qid:28 1:0.735408560311 2:0.96126551052 3:0.69199436903 4:0.5 5:14
1 qid:29 1:0.36075036075 2:0.795093593594 3:0.52500718832 4:1.0 5:68
2 qid:29 1:1.50989010989 2:0.999582853594 3:0.445451319218 4:0.5 5:6
2 qid:30 1:0.746951219512 2:0.52330350654 3:1.39153981209 4:0.5 5:11
